Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|20.41 OPT DINING ROOM COFFERED CEILING - COFDIN,|20.41 OPT DINING ROOM COFFERED CEILING,3,,COFDIN,COFDIN,4085,Lumber,,,|20.41 OPT DINING ROOM COFFERED CEILING,COFDIN,,,,|20.41 OPT DINING ROOM COFFERED CEILING,,,,|20,.41 OPT DINING ROOM COFFERED CEILING,4085,Lumber
|20.42 OPT MBR COFFERED CEILING - COFMBR,|20.42 OPT MBR COFFERED CEILING,3,,COFMBR,COFMBR,4085,Lumber,,,|20.42 OPT MBR COFFERED CEILING,COFMBR,,,,|20.42 OPT MBR COFFERED CEILING,,,,|20,.42 OPT MBR COFFERED CEILING,4085,Lumber
|20.43ABC OPT ENTRY COFFERED CEILING,|20.43 OPT ENTRY COFFERED CEILING,3,"A, B, C",,,4085,Lumber,,,|20.43ABC OPT ENTRY COFFERED CEILING,,,,,|20.43ABC OPT ENTRY COFFERED CEILING,,,,|20,.43ABC OPT ENTRY COFFERED CEILING,4085,Lumber
|20.44 OPT LIVING ROOM COFFERED CEILING,|20.44 OPT LIVING ROOM COFFERED CEILING,3,,,,4085,Lumber,,,|20.44 OPT LIVING ROOM COFFERED CEILING,,,,,|20.44 OPT LIVING ROOM COFFERED CEILING,,,,|20,.44 OPT LIVING ROOM COFFERED CEILING,4085,Lumber
|20.50 OPT BOOKCASE STUDY - BOOK1,|20.50 OPT BOOKCASE STUDY,3,,BOOK1,BOOK1,4085,Lumber,,,|20.50 OPT BOOKCASE STUDY,BOOK1,,,,|20.50 OPT BOOKCASE STUDY,,,,|20,.50 OPT BOOKCASE STUDY,4085,Lumber
|20.60x EXTENDED GREAT ROOM WALLS - XGREAT - WO2,|20.60x EXTENDED GREAT ROOM WALLS,3,,"XGREAT, WO2","XGREAT, WO2",4085,Lumber,,,|20.60x EXTENDED GREAT ROOM WALLS,XGREAT,WO2,,,|20.60x EXTENDED GREAT ROOM WALLS,,,,|20,.60x EXTENDED GREAT ROOM WALLS,4085,Lumber
|20.61 MAIN WALLS SUNROOM - SUN,|20.61 MAIN WALLS SUNROOM,3,,SUN,SUN,4085,Lumber,,,|20.61 MAIN WALLS SUNROOM,SUN,,,,|20.61 MAIN WALLS SUNROOM,,,,|20,.61 MAIN WALLS SUNROOM,4085,Lumber
|20.7 MAIN WALL OPT BDR 3,|20.7 MAIN WALL OPT BDR 3,3,,,,4085,Lumber,,,|20.7 MAIN WALL OPT BDR 3,,,,,|20.7 MAIN WALL OPT BDR 3,,,,|20,.7 MAIN WALL OPT BDR 3,4085,Lumber
|20.81 OPT CLUBHOUSE RETREAT - RETREAT,|20.81 OPT CLUBHOUSE RETREAT,3,,RETREAT,RETREAT,4085,Lumber,,,|20.81 OPT CLUBHOUSE RETREAT,RETREAT,,,,|20.81 OPT CLUBHOUSE RETREAT,,,,|20,.81 OPT CLUBHOUSE RETREAT,4085,Lumber
|20.82 OPT DEN WALLS,|20.82 OPT DEN WALLS,3,,,,4085,Lumber,,,|20.82 OPT DEN WALLS,,,,,|20.82 OPT DEN WALLS,,,,|20,.82 OPT DEN WALLS,4085,Lumber
